MentionSource|tone(all)|count(all)|tone(trump)|count(trump)|tone(trump_pres)|count(trump_pres)|tone(trump_cand)|count(trump_cand)|tone(obama)|count(obama)|tone(clinton)|count(clinton)|tone(charlottesville)|count(charlottesville)|tone(anthem)|count(anthem)|tone(inauguration)|count(inauguration)|tone(mueller)|count(mueller)|tone(tariff)|count(tariff)|prediction
slate.com|-2.626644904905813|55505|-2.728086563374954|0.2458697414647329|-2.799644934966974|0.1786505720205387|-2.0323973479234194|0.007891180974686966|-2.0378367561278794|0.02610575623817674|-1.9698729295585606|0.022664624808575805|-5.110501921397669|0.0024322133141158452|-1.0782847272025213|0.0001621475542743897|-1.0228853417911392|0.0012431312494369877|-3.016494970823474|0.014701378254211332|-2.888663558072822|0.0007747049815331952|0
latimes.com|-2.6310189082309132|222598|-2.4778964073792475|0.08780402339643663|-2.487292694260071|0.06836539411854554|-2.48963977068105|0.002160846009398108|-1.714364893946817|0.013081878543383139|-1.656116088862018|0.00859846000413301|-7.104664857491203|0.0005166263847833313|-0.8992719425396486|0.00024708218402681064|-1.6313183335649888|0.0006693680985453597|-3.6131255320853586|0.002574147117224773|-2.3928325252529388|0.001500462717544632|2
foxbusiness.com|-1.868176527811442|83942|-1.8597142421748434|0.1304948655023707|-1.9298066429229188|0.10956374639632127|-1.1659061130853967|0.0025970312835052775|-1.3796008286374895|0.015570274713492649|-1.3866712835431099|0.009828214719687403|-6.620310709211561|0.0005360844392556766|-0.3889169307159526|0.0006671273021848419|-3.1152579923470816|0.00035738962617045105|-2.9652925464842053|0.0010721688785113532|-2.5067134236775597|0.0172738319315718|0
salon.com|-3.586165895743478|189370|-2.521691905889615|0.16617732481385647|-2.6475312919305423|0.10224428367745683|-2.4661362356724417|0.012964038654485926|-2.179447508801518|0.029460843850662725|-1.6331191150925597|0.024523419760257698|-4.838743448257446|0.0007392934466916619|-0.9405005137125652|0.0001584200242910704|-1.743387924971081|0.0013360088715213604|-2.8135885154085756|0.004953266092834134|-1.891267072254171|0.0005069440777314253|0
cnn.com|-2.813316732159315|337038|-2.17666946613339|0.17378455841774518|-2.2084977627281694|0.117155929005038|-1.9003085964856223|0.012568315738878108|-2.016943704783883|0.02650739679205312|-1.5901033803700464|0.029438816987995418|-5.759527720909308|0.0014983473673591701|-1.4900838488882238|0.00016318634694010764|-0.5171466911677272|0.0009494478367424445|-2.7557445847484394|0.007126792824547974|-2.539974869782513|0.00256054213471478|0
bbc.co.uk|-3.5540971716029612|299163|-3.4602719134620195|0.0018117213692869774|-3.77542105006294|0.0016345604235817933|-3.984130104382833|1.0027978058784008e-05|-0.5261046969613363|0.0001437343521759041|0.6384351002542596|6.351052770563205e-05|-18.21244776248932|2.674127482342402e-05|-4.615384578704834|6.685318705856005e-06|-0.41299299399058026|1.0027978058784008e-05|-5.0595239996910095|6.685318705856005e-06|-2.6904375155766806|2.0055956117568016e-05|1
huffingtonpost.com|-2.199578728036328|369713|-2.7045377943387234|0.14644873185416796|-2.6625619027774805|0.10797023637253762|-2.4617844963787308|0.004608980479452981|-1.486603084126146|0.021446365153510966|-1.5979393215164865|0.014376015990782039|-6.111437480335866|0.0022098222134466464|0.23599857427179813|0.00010819203003410754|-2.5096070522611793|0.0010711010973376647|-3.047641589153391|0.002899546404914082|-2.2831370038528966|0.0003949009096244925|0
foxnews.com|-4.217947571788477|554751|-2.520335280427124|0.12070280179756324|-2.664183206006311|0.09130222388062392|-2.2460529488247034|0.006191967206909046|-2.528909876699061|0.026136050227940102|-2.041781248957193|0.021734075287831837|-7.492365333545315|0.0008003590800196845|-0.551925711830457|0.00013519579054386562|-2.3741373373551315|0.0008021616905602694|-4.030993218838052|0.006255058575829516|-1.82799216046019|0.0005606118781218961|2
cbsnews.com|-3.7173750971081136|183077|-1.9980350130138582|0.13491044751661868|-2.118602588530953|0.09760920268520895|-1.4359976939673795|0.007996635295531388|-1.5726512382138509|0.02362940183638578|-1.145309803047722|0.021340747335820448|-6.470957882312947|0.0015676464001485714|-0.8506466020952981|0.00028949567668248876|-1.1323323672330832|0.0008630248474685515|-2.589342115764823|0.0043205864199216725|-2.876630679557198|0.0030096626009821006|0
npr.org|-2.491651812002137|113737|-1.9636189387385432|0.1112390866648496|-2.1529345134376987|0.08707808364912034|-1.3337270713005311|0.0030860669790833237|-1.537387218306126|0.017021725559844204|-0.9005117315586706|0.011262825641611789|-6.816474845776191|0.0019430792090524632|0.09348822024560743|0.00027255862208428215|-1.607069006521408|0.0006418315939404063|-2.886475762345574|0.004835717488592103|-2.9992713793402626|0.0022156378311367453|0
chicagotribune.com|-2.077116902302866|334257|-2.383161272424826|0.08213440556218718|-2.4762554154211327|0.059394418067534864|-2.167625416539518|0.0026835638445866505|-1.7412004801064032|0.013540479331771662|-1.8104237149552338|0.010770155898006624|-6.3953667816306865|0.0008376787920671818|-1.278666267792384|0.00012565181881007728|-1.1875018408028488|0.0007000601333704305|-3.353605415002165|0.002728439494161678|-2.6452020807921337|0.001298402127704132|0
